uf,municipio,qtde,latitude,longitude
MG,AUGUSTO DE LIMA,8,-18.0997,-44.2655
MG,BAEPENDI,33,-21.957,-44.8874
MG,BALDIM,13,-19.2832,-43.9613
MG,BAMBUI,19,-20.0166,-45.9754
MG,BANDEIRA,1,-15.8783,-40.5622
MG,BANDEIRA DO SUL,8,-21.7308,-46.3833
MG,BARAO DE COCAIS,40,-19.9389,-43.4755
MG,BARAO DO MONTE ALTO,7,,
MG,BARBACENA,112,-21.2214,-43.7703
MG,BARRA LONGA,2,-20.2869,-43.0402
MG,BARROSO,38,-21.1907,-43.972
MG,BELA VISTA DE MINAS,15,-19.8302,-43.0922
MG,BELMIRO BRAGA,8,-21.944000000000006,-43.4084
MG,BELO HORIZONTE,3971,-19.9102,-43.9266
MG,BELO ORIENTE,40,-19.2199,-42.4828
MG,BELO VALE,12,-20.4077,-44.0275
MG,BERILO,8,-16.9567,-42.4606
MG,BERIZAL,1,-15.61,-41.7432
MG,BERTOPOLIS,4,-17.059,-40.58
MG,BETIM,733,-19.9668,-44.2008
MG,BIAS FORTES,1,-21.602,-43.7574
MG,BICAS,33,-21.7232,-43.056
MG,BIQUINHAS,1,-18.7754,-45.4974
MG,BOA ESPERANCA,35,-21.0927,-45.5612
MG,BOCAINA DE MINAS,3,-22.1697,-44.3972
MG,BOCAIUVA,42,-17.1135,-43.8104
MG,BOM DESPACHO,64,-19.7386,-45.2622
MG,BOM JARDIM DE MINAS,6,-21.9479,-44.1885
MG,BOM JESUS DA PENHA,4,-21.0148,-46.5174
MG,BOM JESUS DO AMPARO,3,-19.7054,-43.4782
MG,BOM JESUS DO GALHO,12,-19.836,-42.3165
MG,BOM REPOUSO,2,-22.4675,-46.144
MG,BOM SUCESSO,15,-21.0329,-44.7537
MG,BONFIM,9,-20.3302,-44.2366
MG,BONFINOPOLIS DE MINAS,4,-16.567999999999998,-45.9839
MG,BONITO DE MINAS,1,-15.3231,-44.7543
MG,BORDA DA MATA,16,-22.2707,-46.1653
MG,BOTELHOS,11,-21.6412,-46.39100000000001
MG,BOTUMIRIM,1,-16.8657,-43.0086
MG,BRAS PIRES,4,-20.8419,-43.2406
MG,BRASILANDIA DE MINAS,9,-16.9999,-46.0081
MG,BRASILIA DE MINAS,12,-16.2104,-44.4299
MG,BRASOPOLIS,5,,
MG,BRAUNAS,7,-19.0562,-42.7099
MG,BRUMADINHO,45,-20.151,-44.2007
MG,BUENO BRANDAO,8,-22.4383,-46.3491
MG,BUENOPOLIS,6,-17.8744,-44.1775
MG,BUGRE,3,-19.4231,-42.2552
MG,BURITIS,20,-15.6218,-46.4221
MG,BURITIZEIRO,43,-17.3656,-44.9606
MG,CABECEIRA GRANDE,7,-16.0335,-47.0862
MG,CABO VERDE,15,-21.4699,-46.3919
MG,CACHOEIRA DA PRATA,7,-19.521,-44.4544
MG,CACHOEIRA DE MINAS,9,-22.3511,-45.7809
MG,CACHOEIRA DE PAJEU,4,-15.9688,-41.4948
MG,CACHOEIRA DOURADA,4,-18.5161,-49.5039
MG,CAETANOPOLIS,11,-19.2971,-44.4189
MG,CAETE,44,-19.8826,-43.6704
MG,CAIANA,8,-20.6956,-41.9292
MG,CAJURI,2,-20.7903,-42.7925
MG,CALDAS,17,-21.9183,-46.3843
MG,CAMACHO,1,-20.6294,-45.1593
MG,CAMANDUCAIA,27,-22.7515,-46.1494
MG,CAMBUI,31,-22.6115,-46.0572
MG,CAMBUQUIRA,10,-21.854,-45.2896
MG,CAMPANARIO,3,-18.2427,-41.7355
MG,CAMPANHA,18,-21.836,-45.4004
MG,CAMPESTRE,15,-21.7079,-46.2381
MG,CAMPINA VERDE,22,-19.5382,-49.4862
MG,CAMPO AZUL,1,-16.5028,-44.8096
MG,CAMPO BELO,76,-20.8932,-45.2699
MG,CAMPO DO MEIO,17,-21.1127,-45.8273
MG,CAMPO FLORIDO,7,-19.7631,-48.5716
MG,CAMPOS ALTOS,22,-19.6914,-46.1725
MG,CAMPOS GERAIS,24,-21.237,-45.7569
MG,CANA VERDE,7,-21.0232,-45.1801
MG,CANAA,2,-20.6869,-42.6167
MG,CANAPOLIS,21,-18.7212,-49.2035
MG,CANDEIAS,8,-20.7692,-45.2765
MG,CANTAGALO,1,-18.5248,-42.6223
MG,CAPARAO,6,-20.5289,-41.9061
MG,CAPELA NOVA,1,-20.9179,-43.622
MG,CAPELINHA,24,-17.6888,-42.5147
MG,CAPETINGA,12,-20.6163,-47.0571
MG,CAPIM BRANCO,22,-19.5471,-44.1304
MG,CAPINOPOLIS,26,-18.6862,-49.5706
MG,CAPITAO ANDRADE,5,-19.0748,-41.8614
MG,CAPITAO ENEAS,6,-16.3265,-43.7084
MG,CAPITOLIO,6,-20.6164,-46.0493
MG,CAPUTIRA,9,-20.1703,-42.2683
MG,CARAI,8,-17.1862,-41.7004
MG,CARANAIBA,1,-20.8707,-43.7417
MG,CARANDAI,22,-20.9566,-43.81100000000001
MG,CARANGOLA,63,-20.7343,-42.0313
MG,CARATINGA,140,-19.7868,-42.1292
MG,CARBONITA,7,-17.5255,-43.0137
MG,CAREACU,6,-22.0424,-45.69600000000001
MG,CARLOS CHAGAS,17,-17.6973,-40.7723
MG,CARMESIA,1,-19.0877,-43.1382
MG,CARMO DA CACHOEIRA,6,-21.4633,-45.2201
MG,CARMO DA MATA,11,-20.5575,-44.8735
MG,CARMO DE MINAS,12,-22.1204,-45.1307
MG,CARMO DO CAJURU,25,-20.1912,-44.7664
MG,CARMO DO PARANAIBA,35,-18.991,-46.3167
MG,CARMO DO RIO CLARO,16,-20.9736,-46.1149
MG,CARMOPOLIS DE MINAS,12,-20.5396,-44.6336
MG,CARNEIRINHO,5,-19.6987,-50.6894
MG,CARRANCAS,6,-21.4898,-44.6446
MG,CARVALHOPOLIS,3,-21.7735,-45.8421
MG,CARVALHOS,2,-22.0,-44.4632
MG,CASA GRANDE,3,-20.7925,-43.9343
MG,CASCALHO RICO,5,-18.5772,-47.8716
MG,CASSIA,20,-20.5831,-46.9201
MG,CATAGUASES,147,-21.3924,-42.6896
MG,CATAS ALTAS,3,-20.0734,-43.4061
MG,CATAS ALTAS DA NORUEGA,1,-20.6901,-43.4939
MG,CATUJI,6,-17.3018,-41.5276
MG,CATUTI,1,-15.3616,-42.9627
MG,CAXAMBU,47,-21.9753,-44.9319
MG,CENTRAL DE MINAS,16,-18.7612,-41.3143
MG,CENTRALINA,11,-18.5852,-49.2014
MG,CHACARA,8,-21.6733,-43.215
MG,CHALE,10,-20.0453,-41.6897
MG,CHAPADA DO NORTE,3,-17.0881,-42.5392
MG,CHAPADA GAUCHA,4,-15.3014,-45.6116
MG,CHIADOR,4,-21.9996,-43.0617
MG,CIPOTANEA,3,-20.9026,-43.3629
MG,CLARAVAL,8,-20.397,-47.2768
MG,CLARO DOS POCOES,2,-17.082,-44.2061
MG,CLAUDIO,25,-20.4437,-44.7673
MG,COIMBRA,3,-20.8535,-42.8008
MG,COLUNA,5,-18.2311,-42.8352
MG,COMENDADOR GOMES,5,-19.6973,-49.0789
MG,COMERCINHO,3,-16.2963,-41.7945
MG,CONCEICAO DA APARECIDA,8,-21.096,-46.2049
MG,CONCEICAO DA BARRA DE MINAS,3,-21.1316,-44.4729
MG,CONCEICAO DAS ALAGOAS,25,-19.9172,-48.3839
MG,CONCEICAO DAS PEDRAS,2,-22.1576,-45.4562
MG,CONCEICAO DE IPANEMA,11,-19.9326,-41.6908
MG,CONCEICAO DO MATO DENTRO,16,-19.0344,-43.4221
MG,CONCEICAO DO PARA,5,-19.7456,-44.8945
MG,CONCEICAO DO RIO VERDE,10,-21.8778,-45.087
MG,CONCEICAO DOS OUROS,6,-22.4078,-45.7996
MG,CONFINS,12,-19.6282,-43.9931
MG,CONGONHAL,7,-22.1488,-46.043
MG,CONGONHAS,53,-20.4958,-43.851000000000006
MG,CONGONHAS DO NORTE,2,-18.8021,-43.6767
MG,CONQUISTA,3,-19.9312,-47.5492
MG,CONSELHEIRO LAFAIETE,112,-20.6634,-43.7846
MG,CONSELHEIRO PENA,37,-19.1789,-41.4736
MG,CONSOLACAO,1,-22.5493,-45.9255
MG,CONTAGEM,1271,-19.9321,-44.0539
MG,COQUEIRAL,11,-21.1858,-45.4366
MG,CORACAO DE JESUS,11,-16.6841,-44.3635
MG,CORDISBURGO,3,-19.1224,-44.3224
MG,CORDISLANDIA,1,-21.7891,-45.6999
MG,CORINTO,29,-18.369,-44.4542
MG,COROACI,6,-18.6156,-42.2791
MG,COROMANDEL,27,-18.4734,-47.1933
MG,CORONEL FABRICIANO,244,-19.5179,-42.6276
MG,CORONEL MURTA,6,-16.6148,-42.184
MG,CORONEL PACHECO,6,-21.5898,-43.256
MG,CORONEL XAVIER CHAVES,5,-21.0277,-44.2206
MG,CORREGO DANTA,4,-19.8198,-45.9032
MG,CORREGO DO BOM JESUS,2,-22.6269,-46.0241
MG,CORREGO FUNDO,4,-20.4474,-45.5617
MG,CORREGO NOVO,5,-19.8361,-42.3988
MG,COUTO DE MAGALHAES DE MINAS,3,-18.0727,-43.4648
MG,CRISOLITA,3,-17.2381,-40.9184
MG,CRISTAIS,10,-20.8733,-45.5167
MG,CRISTALIA,4,-16.715999999999998,-42.8571
MG,CRISTIANO OTONI,5,-20.8324,-43.8166
MG,CRISTINA,12,-22.208,-45.2673
MG,CRUCILANDIA,6,-20.3923,-44.3334
MG,CRUZEIRO DA FORTALEZA,3,-18.944000000000006,-46.6669
MG,CRUZILIA,9,-21.84,-44.8067
MG,CUPARAQUE,10,-18.9648,-41.0986
MG,CURRAL DE DENTRO,1,-15.9327,-41.8557
MG,CURVELO,79,-18.7527,-44.4303
MG,DATAS,2,-18.4478,-43.6591
MG,DELFIM MOREIRA,7,-22.5036,-45.2792
MG,DELFINOPOLIS,6,-20.3468,-46.8456
MG,DELTA,8,-19.9721,-47.7841
MG,DESCOBERTO,6,-21.46,-42.9618
MG,DESTERRO DE ENTRE RIOS,7,-20.665,-44.3334
MG,DIAMANTINA,52,-18.2413,-43.6031
MG,DIOGO DE VASCONCELOS,4,-20.4879,-43.1953
MG,DIONISIO,6,-19.8433,-42.7701
MG,DIVINESIA,6,-20.9917,-43.0003
MG,DIVINO,60,-20.6134,-42.1438
MG,DIVINO DAS LARANJEIRAS,10,-18.7755,-41.4781
MG,DIVINOLANDIA DE MINAS,5,-18.8004,-42.6103
MG,DIVINOPOLIS,241,-20.1446,-44.8912
MG,DIVISA ALEGRE,5,-15.7221,-41.3463
MG,DIVISA NOVA,4,-21.5092,-46.1904
MG,DIVISOPOLIS,12,-15.7254,-40.9997
MG,DOM BOSCO,1,-16.652,-46.2597
MG,DOM CAVATI,10,-19.3735,-42.1121
MG,DOM JOAQUIM,3,-18.961,-43.2544
MG,DOM SILVERIO,4,-20.1627,-42.9627
MG,DOM VICOSO,1,-22.2511,-45.1643
MG,DONA EUZEBIA,14,,
MG,DORES DE CAMPOS,5,-21.1139,-44.0207
MG,DORES DE GUANHAES,4,-19.0516,-42.9254
MG,DORES DO INDAIA,18,-19.4628,-45.5927
MG,DORES DO TURVO,5,-20.9785,-43.1834
MG,DORESOPOLIS,1,-20.2868,-45.9007
MG,DOURADOQUARA,3,-18.4338,-47.5993
MG,DURANDE,9,-20.2058,-41.7977
MG,ELOI MENDES,26,-21.6088,-45.5691
MG,ENGENHEIRO CALDAS,22,-19.2065,-42.0503
MG,ENGENHEIRO NAVARRO,5,-17.2831,-43.947
MG,ENTRE FOLHAS,11,-19.6218,-42.2306
MG,ENTRE RIOS DE MINAS,21,-20.6706,-44.0654
MG,ERVALIA,7,-20.8403,-42.6544
MG,ESMERALDAS,92,-19.764,-44.3065
MG,ESPERA FELIZ,25,-20.6508,-41.9119
MG,ESPINOSA,11,-14.9249,-42.809
MG,ESPIRITO SANTO DO DOURADO,2,-22.0454,-45.9548
MG,ESTIVA,9,-22.4577,-46.0191
MG,ESTRELA DALVA,2,-21.7412,-42.4574
MG,ESTRELA DO INDAIA,3,-19.5169,-45.7859
MG,ESTRELA DO SUL,11,-18.7399,-47.6956
MG,EUGENOPOLIS,31,-21.1002,-42.1878
MG,EWBANK DA CAMARA,2,-21.5498,-43.5068
MG,EXTREMA,47,-22.854,-46.3178
MG,FAMA,4,-21.4089,-45.8286
MG,FARIA LEMOS,7,-20.8097,-42.0213
MG,FELICIO DOS SANTOS,2,-18.0755,-43.2422
MG,FELISBURGO,8,-16.6348,-40.7605
MG,FELIXLANDIA,8,-18.7507,-44.9004
MG,FERNANDES TOURINHO,1,-19.1541,-42.0803
MG,FERROS,5,-19.2343,-43.0192
MG,FERVEDOURO,11,-20.726,-42.279
MG,FLORESTAL,5,-19.888,-44.4318
MG,FORMIGA,84,-20.4618,-45.4268
MG,FORMOSO,4,-14.9446,-46.2371
MG,FORTALEZA DE MINAS,2,-20.8508,-46.712
MG,FORTUNA DE MINAS,4,-19.5578,-44.4472
MG,FRANCISCO BADARO,2,-16.9883,-42.3568
MG,FRANCISCO DUMONT,5,-17.3107,-44.2317
MG,FRANCISCO SA,11,-16.4827,-43.4896
MG,FRANCISCOPOLIS,4,-17.9578,-42.0094
MG,FREI GASPAR,5,-18.0709,-41.4325
MG,FREI INOCENCIO,14,-18.5556,-41.9121
MG,FRONTEIRA,25,-20.2748,-49.1984
MG,FRONTEIRA DOS VALES,2,-16.8898,-40.923
MG,FRUTA DE LEITE,1,-16.1225,-42.5288
MG,FRUTAL,116,-20.0259,-48.9355
MG,FUNILANDIA,7,-19.3661,-44.06100000000001
MG,GALILEIA,15,-19.0005,-41.5387
MG,GAMELEIRAS,2,-15.0829,-43.125
MG,GLAUCILANDIA,1,-16.8481,-43.692
MG,GOIABEIRA,2,-18.9807,-41.2235
MG,GOIANA,6,-21.536,-43.1957
MG,GONCALVES,5,-22.6545,-45.8556
MG,GONZAGA,3,-18.8196,-42.4769
MG,GOUVEIA,5,-18.4519,-43.7423
MG,GOVERNADOR VALADARES,809,-18.8545,-41.9555
MG,GRAO MOGOL,4,-16.5662,-42.8923
MG,GRUPIARA,4,-18.5003,-47.7318
MG,GUANHAES,29,-18.7713,-42.9312
MG,GUAPE,8,-20.7631,-45.9152
MG,GUARACIABA,3,-20.5716,-43.0094
MG,GUARACIAMA,2,-17.0142,-43.6675
MG,GUARANESIA,23,-21.3009,-46.7964
MG,GUARANI,9,-21.3563,-43.0328
MG,GUARARA,11,-21.7304,-43.0334
MG,GUARDA-MOR,5,-17.7673,-47.0998
MG,GUAXUPE,53,-21.305,-46.7081
MG,GUIDOVAL,8,-21.155,-42.7887
MG,GUIMARANIA,4,-18.8425,-46.7901
MG,GUIRICEMA,11,-21.0098,-42.7207
MG,GURINHATA,7,-19.2143,-49.7876
MG,HELIODORA,3,-22.0644,-45.5453
MG,IAPU,9,-19.4387,-42.2147
MG,IBERTIOGA,3,-21.433000000000003,-43.9639
MG,IBIA,28,-19.4749,-46.5474
MG,IBIAI,3,-16.8591,-44.9046
MG,IBIRACATU,1,-15.6605,-44.1667
MG,IBIRACI,8,-20.4611,-47.1222
MG,IBIRITE,359,-20.0252,-44.0569
MG,IBITIURA DE MINAS,3,-22.0604,-46.4368
MG,IBITURUNA,2,-21.1541,-44.7479
MG,ICARAI DE MINAS,2,-16.214000000000002,-44.9034
MG,IGARAPE,61,-20.0707,-44.2994
MG,IGARATINGA,9,-19.9476,-44.7063
MG,IGUATAMA,13,-20.1776,-45.7111
MG,IJACI,9,-21.1738,-44.9233
MG,ILICINEA,10,-20.9402,-45.8308
MG,IMBE DE MINAS,3,-19.6017,-41.9695
MG,INCONFIDENTES,5,-22.3136,-46.3264
MG,INDAIABIRA,2,-15.4911,-42.2005
MG,INDIANOPOLIS,10,-19.0341,-47.9155
MG,INGAI,2,-21.4024,-44.9152
MG,INHAPIM,25,-19.5476,-42.1147
MG,INHAUMA,10,-19.4898,-44.3934
MG,INIMUTABA,4,-18.7271,-44.3584
MG,IPABA,34,-19.4158,-42.4139
MG,IPANEMA,40,-19.7992,-41.7164
MG,IPATINGA,564,-19.4703,-42.5476
MG,IPIACU,5,-18.6927,-49.9436
MG,IPUIUNA,10,-22.1013,-46.1915
MG,IRAI DE MINAS,4,-18.9819,-47.46100000000001
MG,ITABIRA,147,-19.6239,-43.2312
MG,ITABIRINHA,19,-18.5712,-41.234
MG,ITABIRITO,46,-20.2501,-43.8038
MG,ITACAMBIRA,1,-17.0625,-43.3069
MG,ITACARAMBI,15,-15.089,-44.095
MG,ITAGUARA,20,-20.3947,-44.4875
MG,ITAIPE,3,-17.4014,-41.6697
MG,ITAJUBA,124,-22.4225,-45.4598
MG,ITAMARANDIBA,17,-17.8552,-42.8561
MG,ITAMARATI DE MINAS,8,-21.4179,-42.813
MG,ITAMBACURI,9,-18.035,-41.683
MG,ITAMBE DO MATO DENTRO,1,-19.4158,-43.3182
MG,ITAMOGI,5,-21.0758,-47.04600000000001
MG,ITAMONTE,11,-22.2859,-44.868
MG,ITANHANDU,22,-22.2942,-44.9382
MG,ITANHOMI,10,-19.1736,-41.863
MG,ITAOBIM,17,-16.5571,-41.5017
MG,ITAPAGIPE,7,-19.9062,-49.3781
MG,ITAPECERICA,22,-20.4704,-45.127
MG,ITAPEVA,14,-22.7665,-46.2241
MG,ITATIAIUCU,15,-20.1983,-44.4211
MG,ITAU DE MINAS,21,-20.7375,-46.7525
MG,ITAUNA,104,-20.0818,-44.5801
MG,ITAVERAVA,6,-20.6769,-43.6141
MG,ITINGA,8,-16.61,-41.7672
MG,ITUETA,13,-19.3999,-41.1746
MG,ITUIUTABA,149,-18.9772,-49.4639
MG,ITUMIRIM,8,-21.3171,-44.8724
MG,ITURAMA,58,-19.7276,-50.1966
MG,ITUTINGA,2,-21.3,-44.6567
MG,JABOTICATUBAS,28,-19.5119,-43.7373
MG,JACINTO,7,-16.1428,-40.295
MG,JACUI,7,-21.0137,-46.7359
MG,JACUTINGA,35,-22.286,-46.6166
MG,JAGUARACU,4,-19.647,-42.7498
MG,JAIBA,21,-15.3432,-43.6688
MG,JAMPRUCA,3,-18.461,-41.809
MG,JANAUBA,60,-15.8022,-43.3132
MG,JANUARIA,44,-15.4802,-44.3639
MG,JAPARAIBA,3,-20.1442,-45.5015
MG,JAPONVAR,1,-15.9891,-44.2758
MG,JECEABA,4,-20.5339,-43.9894
MG,JENIPAPO DE MINAS,2,-17.0831,-42.2589
MG,JEQUERI,6,-20.4542,-42.6651
MG,JEQUITAI,5,-17.229,-44.4376
MG,JEQUITIBA,3,-19.2345,-44.0304
MG,JEQUITINHONHA,22,-16.4375,-41.0117
MG,JESUANIA,2,-21.9887,-45.2911
MG,JOAIMA,19,-16.6522,-41.0229
MG,JOANESIA,2,-19.1729,-42.6775
MG,JOAO MONLEVADE,118,-19.8126,-43.1735
MG,JOAO PINHEIRO,33,-17.7398,-46.1715
MG,JOAQUIM FELICIO,2,-17.758,-44.1643
MG,JORDANIA,13,-15.9009,-40.1841
MG,JOSE GONCALVES DE MINAS,3,-16.9053,-42.6014
MG,JOSE RAYDAN,2,-18.2195,-42.4946
MG,JOSENOPOLIS,5,-16.5417,-42.5151
MG,JUATUBA,35,-19.9448,-44.3451
MG,JUIZ DE FORA,972,-21.7595,-43.3398
MG,JURAMENTO,2,-16.8473,-43.5865
MG,JURUAIA,4,-21.2493,-46.5735
MG,JUVENILIA,6,-14.2662,-44.1597
MG,LADAINHA,7,-17.6279,-41.7488
MG,LAGAMAR,3,-18.1759,-46.8063
MG,LAGOA DA PRATA,49,-20.0237,-45.5401
MG,LAGOA DOS PATOS,1,-16.977999999999998,-44.5754
MG,LAGOA DOURADA,6,-20.9139,-44.0797
MG,LAGOA FORMOSA,11,-18.7715,-46.4012
MG,LAGOA GRANDE,8,-17.8323,-46.5165
MG,LAGOA SANTA,105,-19.6397,-43.8932
MG,LAJINHA,26,-20.1539,-41.6228
MG,LAMBARI,30,-21.9671,-45.3498
MG,LAMIM,1,-20.79,-43.4706
MG,LARANJAL,5,-21.3715,-42.4732
MG,LASSANCE,5,-17.887,-44.5735
MG,LAVRAS,97,-21.248,-45.0009
MG,LEANDRO FERREIRA,1,-19.7193,-45.0279
MG,LEME DO PRADO,4,-17.0793,-42.6936
MG,LEOPOLDINA,122,-21.5296,-42.6421
MG,LIBERDADE,4,-22.0275,-44.3208
MG,LIMA DUARTE,10,-21.8386,-43.7934
MG,LIMEIRA DO OESTE,5,-19.5512,-50.5815
MG,LONTRA,6,-15.9013,-44.306
MG,LUISBURGO,2,-20.4468,-42.0976
MG,LUISLANDIA,1,-16.1095,-44.5886
MG,LUMINARIAS,6,-21.5145,-44.9034
MG,LUZ,25,-19.7911,-45.6794
MG,MACHACALIS,8,-17.0723,-40.7245
MG,MACHADO,31,-21.6778,-45.9219
MG,MADRE DE DEUS DE MINAS,3,-21.483,-44.3287
MG,MALACACHETA,6,-17.8456,-42.0769
MG,MAMONAS,2,-15.0479,-42.9469
MG,MANGA,14,-14.7529,-43.9391
MG,MANHUACU,130,-20.2572,-42.028
MG,MANHUMIRIM,35,-20.3591,-41.9589
MG,MANTENA,73,-18.7761,-40.9874
MG,MAR DE ESPANHA,13,-21.8707,-43.0062
MG,MARAVILHAS,4,-19.5076,-44.6779
MG,MARIA DA FE,6,-22.3044,-45.3773
MG,MARIANA,60,-20.3765,-43.414
MG,MARILAC,6,-18.5079,-42.0822
MG,MARIO CAMPOS,36,-20.0582,-44.1883
MG,MARIPA DE MINAS,4,-21.6979,-42.9546
MG,MARLIERIA,6,-19.7096,-42.7327
MG,MARMELOPOLIS,2,-22.447,-45.1645
MG,MARTINHO CAMPOS,14,-19.3306,-45.2434
MG,MARTINS SOARES,12,-20.2546,-41.8786
MG,MATA VERDE,10,-15.6869,-40.7366
MG,MATERLANDIA,4,-18.4699,-43.0579
MG,MATEUS LEME,47,-19.9794,-44.4318
MG,MATHIAS LOBATO,6,-18.59,-41.9166
MG,MATIAS BARBOSA,25,-21.869,-43.3135
MG,MATIAS CARDOSO,3,-14.8563,-43.9146
MG,MATIPO,28,-20.2873,-42.3401
MG,MATO VERDE,8,-15.3944,-42.86
MG,MATOZINHOS,91,-19.5543,-44.0868
MG,MATUTINA,2,-19.2179,-45.9664
MG,MEDEIROS,2,-19.9865,-46.2181
MG,MEDINA,19,-16.2245,-41.4728
MG,MENDES PIMENTEL,15,-18.6631,-41.4052
MG,MERCES,9,-21.1976,-43.3337
MG,MESQUITA,7,-19.224,-42.6079
MG,MINAS NOVAS,14,-17.2156,-42.5884
MG,MINDURI,4,-21.6797,-44.6051
MG,MIRABELA,5,-16.256,-44.1602
MG,MIRADOURO,10,-20.8899,-42.3458
MG,MIRAI,33,-21.2021,-42.6122
MG,MIRAVANIA,1,-14.7348,-44.4092
MG,MOEDA,9,-20.3399,-44.0509
MG,MOEMA,4,-19.8387,-45.4127
MG,MONJOLOS,2,-18.3245,-44.118
MG,MONSENHOR PAULO,4,-21.7579,-45.5391
MG,MONTALVANIA,9,-14.4197,-44.3719
MG,MONTE ALEGRE DE MINAS,35,-18.869,-48.881
MG,MONTE AZUL,7,-15.1514,-42.8718
MG,MONTE BELO,9,-21.3271,-46.3635
MG,MONTE CARMELO,64,-18.7302,-47.4912
MG,MONTE FORMOSO,3,-16.8691,-41.2473
MG,MONTE SANTO DE MINAS,29,-21.1873,-46.9753
MG,MONTE SIAO,18,-22.4335,-46.573
MG,MONTES CLAROS,443,-16.7282,-43.8578
MG,MONTEZUMA,1,-15.1702,-42.4941
MG,MORADA NOVA DE MINAS,13,-18.5998,-45.3584
MG,MORRO DA GARCA,2,-18.5356,-44.601000000000006
MG,MORRO DO PILAR,1,-19.2236,-43.3795
MG,MUNHOZ,2,-22.6092,-46.362
MG,MURIAE,255,-21.13,-42.3693
MG,MUTUM,40,-19.8121,-41.4407
MG,MUZAMBINHO,19,-21.3692,-46.5213
MG,NACIP RAYDAN,3,-18.4544,-42.2481
MG,NANUQUE,70,-17.8481,-40.3533
MG,NAQUE,12,-19.2291,-42.3312
MG,NATALANDIA,4,-16.5021,-46.4874
MG,NATERCIA,3,-22.1158,-45.5123
MG,NAZARENO,4,-21.2168,-44.6138
MG,NEPOMUCENO,22,-21.2324,-45.235
MG,NINHEIRA,3,-15.3148,-41.7564
MG,NOVA BELEM,3,-18.4925,-41.1107
MG,NOVA ERA,18,-19.7577,-43.0333
MG,NOVA LIMA,101,-19.9758,-43.8509
MG,NOVA MODICA,4,-18.4417,-41.4984
MG,NOVA PONTE,13,-19.1461,-47.6779
MG,NOVA PORTEIRINHA,5,-15.7993,-43.2941
MG,NOVA RESENDE,10,-21.1286,-46.4157
MG,NOVA SERRANA,87,-19.8713,-44.9847
MG,NOVA UNIAO,6,-19.6876,-43.583
MG,NOVO CRUZEIRO,13,-17.4654,-41.8826
MG,NOVO ORIENTE DE MINAS,6,-17.4089,-41.2194
MG,OLARIA,4,-21.8598,-43.9356
MG,OLHOS-D'AGUA,3,,
MG,OLIMPIO NORONHA,2,-22.0685,-45.2657
MG,OLIVEIRA,37,-20.6982,-44.82899999999999
MG,OLIVEIRA FORTES,1,-21.3401,-43.4499
MG,ONCA DE PITANGUI,1,-19.7276,-44.8058
MG,ORATORIOS,5,-20.4298,-42.7977
MG,ORIZANIA,14,-20.5142,-42.1991
MG,OURO BRANCO,56,-20.5263,-43.6962
MG,OURO FINO,42,-22.2779,-46.3716
MG,OURO PRETO,76,-20.3796,-43.512
MG,OURO VERDE DE MINAS,7,-18.0719,-41.2734
MG,PADRE CARVALHO,2,-16.3646,-42.5088
MG,PADRE PARAISO,14,-17.0758,-41.4821
MG,PAI PEDRO,4,-15.5271,-43.07
MG,PAINEIRAS,6,-18.8993,-45.5321
MG,PAINS,9,-20.3705,-45.6627
MG,PAIVA,1,-21.2913,-43.4088
MG,PALMA,9,-21.3748,-42.3123
MG,PALMOPOLIS,3,-16.7364,-40.4296
MG,PAPAGAIOS,13,-19.4419,-44.7468
MG,PARA DE MINAS,61,-19.8534,-44.6114
MG,PARACATU,98,-17.2252,-46.8711
MG,PARAGUACU,21,-21.5465,-45.7374
MG,PARAISOPOLIS,10,-22.5539,-45.7803
MG,PARAOPEBA,27,-19.2732,-44.4044
MG,PASSA QUATRO,15,-22.3871,-44.9709
MG,PASSA TEMPO,5,-20.6539,-44.4926
MG,PASSA VINTE,2,,
MG,PASSABEM,1,-19.3509,-43.1383
MG,PASSOS,123,-20.7193,-46.609
MG,PATIS,1,-16.0773,-44.0787
MG,PATOS DE MINAS,142,-18.5699,-46.5013
MG,PATROCINIO,108,-18.9379,-46.9934
MG,PATROCINIO DO MURIAE,15,-21.1544,-42.2125
MG,PAULA CANDIDO,7,-20.8754,-42.9752
MG,PAULISTAS,3,-18.4276,-42.8628
MG,PAVAO,5,-17.4267,-41.0035
MG,PECANHA,7,-18.5441,-42.5583
MG,PEDRA AZUL,27,-16.0086,-41.2909
MG,PEDRA BONITA,6,-20.5219,-42.3304
MG,PEDRA DO ANTA,2,-20.5968,-42.7123
MG,PEDRA DO INDAIA,5,-20.2563,-45.2107
MG,PEDRA DOURADA,3,-20.8266,-42.1515
MG,PEDRALVA,5,-22.2386,-45.4654
MG,PEDRAS DE MARIA DA CRUZ,2,-15.6032,-44.39100000000001
MG,PEDRINOPOLIS,3,-19.2241,-47.4579
MG,PEDRO LEOPOLDO,102,-19.6308,-44.0383
MG,PEDRO TEIXEIRA,2,-21.7076,-43.743
MG,PEQUERI,8,-21.8341,-43.1145
MG,PEQUI,3,-19.6284,-44.6604
MG,PERDIGAO,10,-19.9411,-45.078
MG,PERDIZES,11,-19.3434,-47.2963
MG,PERDOES,30,-21.0932,-45.0896
MG,PERIQUITO,6,-19.1573,-42.2333
MG,PESCADOR,3,-18.357,-41.6006
MG,PIAU,3,-21.5096,-43.313
