uf,municipio,qtde,latitude,longitude
AL,SAO SEBASTIAO,15,-9.93043,-36.559
AL,SATUBA,12,-9.56911,-35.8227
AL,SENADOR RUI PALMEIRA,6,-9.46986,-37.4576
AL,TANQUE D'ARCA,2,-9.53379,-36.4366
AL,TAQUARANA,11,-9.64529,-36.4928
AL,TEOTONIO VILELA,19,-9.91656,-36.3492
AL,TRAIPU,8,-9.96262,-37.0071
AL,UNIAO DOS PALMARES,33,-9.15921,-36.0223
AL,VICOSA,11,-9.36763,-36.2431
AM,ALVARAES,2,-3.22727,-64.8007
AM,AMATURA,9,-3.37455,-68.2005
AM,ANAMA,8,-3.5669699999999995,-61.3963
AM,ANORI,8,-3.74603,-61.6575
AM,APUI,10,-7.194089999999999,-59.896
AM,ATALAIA DO NORTE,6,-4.37055,-70.1967
AM,AUTAZES,26,-3.58574,-59.1256
AM,BARCELOS,7,-0.983373,-62.9311
AM,BARREIRINHA,4,-2.79886,-57.0679
AM,BENJAMIN CONSTANT,27,-4.377680000000002,-70.0342
AM,BERURI,7,-3.89874,-61.3616
AM,BOA VISTA DO RAMOS,5,-2.9740900000000003,-57.5873
AM,BOCA DO ACRE,20,-8.74232,-67.3919
AM,BORBA,16,-4.39154,-59.5874
AM,CAAPIRANGA,4,-3.31537,-61.2206
AM,CANUTAMA,3,-6.52582,-64.3953
AM,CARAUARI,8,-4.88161,-66.9086
AM,CAREIRO,21,-3.76803,-60.369
AM,CAREIRO DA VARZEA,5,-3.314,-59.5557
AM,COARI,40,-4.094119999999998,-63.1441
AM,CODAJAS,12,-3.83053,-62.0658
AM,EIRUNEPE,11,-6.65677,-69.8662
AM,ENVIRA,7,-7.437889999999999,-70.0281
AM,FONTE BOA,11,-2.52342,-66.0942
AM,GUAJARA,5,-7.53797,-72.5907
AM,HUMAITA,59,-7.511710000000001,-63.0327
AM,IPIXUNA,8,-7.047910000000001,-71.6934
AM,IRANDUBA,41,-3.2747900000000003,-60.19
AM,ITACOATIARA,92,-3.13861,-58.4449
AM,ITAMARATI,1,-6.43852,-68.2437
AM,ITAPIRANGA,9,-2.74081,-58.0293
AM,JAPURA,2,-1.88237,-66.9291
AM,JURUA,2,-3.4843800000000003,-66.0718
AM,JUTAI,7,-2.75814,-66.7595
AM,LABREA,23,-7.2641300000000015,-64.7948
AM,MANACAPURU,75,-3.29066,-60.6216
AM,MANAQUIRI,12,-3.44078,-60.4612
AM,MANAUS,2554,-3.11866,-60.0212
AM,MANICORE,19,-5.80462,-61.2895
AM,MARAA,3,-1.85313,-65.57300000000001
AM,MAUES,20,-3.39289,-57.7067
AM,NHAMUNDA,6,-2.20793,-56.7112
AM,NOVA OLINDA DO NORTE,12,-3.90037,-59.094
AM,NOVO AIRAO,12,-2.63637,-60.9434
AM,NOVO ARIPUANA,9,-5.12593,-60.3732
AM,PARINTINS,49,-2.63741,-56.729
AM,PAUINI,3,-7.71311,-66.992
AM,PRESIDENTE FIGUEIREDO,34,-2.02981,-60.0234
AM,RIO PRETO DA EVA,19,-2.7045,-59.6858
AM,SANTA ISABEL DO RIO NEGRO,7,-0.410824,-65.0092
AM,SANTO ANTONIO DO ICA,9,-3.09544,-67.9463
AM,SAO GABRIEL DA CACHOEIRA,34,-0.11909000000000003,-67.084
AM,SAO PAULO DE OLIVENCA,13,-3.47292,-68.9646
AM,SAO SEBASTIAO DO UATUMA,9,-2.55915,-57.8731
AM,SILVES,4,-2.81748,-58.24800000000001
AM,TABATINGA,48,-4.2416,-69.9383
AM,TAPAUA,5,-5.62085,-63.1808
AM,TEFE,44,-3.3682199999999995,-64.7193
AM,TONANTINS,10,-2.8658200000000003,-67.7919
AM,UARINI,3,-2.99609,-65.1133
AM,URUCARA,8,-2.52936,-57.7538
AM,URUCURITUBA,11,-3.12841,-58.1496
AP,AMAPA,8,2.05267,-50.7957
AP,CALCOENE,8,2.50475,-50.9512
AP,CUTIAS,3,0.970761,-50.8005
AP,FERREIRA GOMES,10,0.8572559999999999,-51.1795
AP,ITAUBAL,1,0.6021850000000001,-50.6996
AP,LARANJAL DO JARI,31,-0.8049109999999999,-52.453
AP,MACAPA,558,0.034934,-51.0694
AP,MAZAGAO,13,-0.11336,-51.2891
AP,OIAPOQUE,27,3.84074,-51.8331
AP,PEDRA BRANCA DO AMAPARI,10,0.777424,-51.9503
AP,PORTO GRANDE,11,0.71243,-51.4155
AP,PRACUUBA,2,1.74543,-50.7892
AP,SANTANA,110,-0.045434,-51.1729
AP,SERRA DO NAVIO,5,0.901357,-52.0036
AP,TARTARUGALZINHO,7,1.50652,-50.9087
AP,VITORIA DO JARI,17,-0.938,-52.424
BA,ABAIRA,7,-13.2488,-41.6619
BA,ABARE,4,-8.72073,-39.1162
BA,ACAJUTIBA,5,-11.6575,-38.0197
BA,ADUSTINA,5,-10.5437,-38.1113
BA,AGUA FRIA,8,-11.8618,-38.7639
BA,AIQUARA,4,-14.1269,-39.8937
BA,ALAGOINHAS,251,-12.1335,-38.4208
BA,ALCOBACA,24,-17.5195,-39.2036
BA,ALMADINA,8,-14.7089,-39.6415
BA,AMARGOSA,44,-13.0215,-39.602
BA,AMELIA RODRIGUES,29,-12.3914,-38.7563
BA,AMERICA DOURADA,5,-11.4429,-41.43899999999999
BA,ANAGE,8,-14.6151,-41.1356
BA,ANDARAI,7,-12.8049,-41.3297
BA,ANDORINHA,11,-10.3482,-39.8391
BA,ANGICAL,1,-12.0063,-44.7003
BA,ANGUERA,6,-12.1462,-39.2462
BA,ANTAS,5,-10.3856,-38.3401
BA,ANTONIO CARDOSO,5,-12.4335,-39.1176
BA,ANTONIO GONCALVES,6,-10.5767,-40.2785
BA,APORA,10,-11.6577,-38.0814
BA,APUAREMA,6,-13.8542,-39.7501
BA,ARACAS,7,-12.22,-38.2027
BA,ARACATU,7,-14.428,-41.4648
BA,ARACI,13,-11.3253,-38.9584
BA,ARAMARI,7,-12.0884,-38.4969
BA,ARATACA,6,-15.2651,-39.419
BA,ARATUIPE,9,-13.0716,-39.0038
BA,AURELINO LEAL,14,-14.321,-39.329
BA,BAIANOPOLIS,8,-12.3016,-44.5388
BA,BAIXA GRANDE,11,-11.9519,-40.169
BA,BANZAE,3,-10.5788,-38.6212
BA,BARRA,18,-11.0859,-43.1459
BA,BARRA DA ESTIVA,15,-13.6237,-41.3347
BA,BARRA DO CHOCA,30,-14.8654,-40.5791
BA,BARRA DO MENDES,9,-11.81,-42.059
BA,BARRA DO ROCHA,10,-14.2,-39.5991
BA,BARREIRAS,119,-12.1439,-44.9968
BA,BARRO ALTO,6,-11.7605,-41.9054
BA,BARRO PRETO,6,-14.7948,-39.476
BA,BARROCAS,11,-11.5272,-39.0776
BA,BELMONTE,27,-15.8608,-38.8758
BA,BELO CAMPO,14,-15.0334,-41.2652
BA,BIRITINGA,10,-11.6072,-38.8051
BA,BOA NOVA,5,-14.3598,-40.2064
BA,BOA VISTA DO TUPIM,4,-12.6498,-40.6064
BA,BOM JESUS DA LAPA,65,-13.2506,-43.4108
BA,BOM JESUS DA SERRA,4,-14.3663,-40.5126
BA,BONINAL,9,-12.7069,-41.8286
BA,BONITO,3,-11.9668,-41.2647
BA,BOQUIRA,8,-12.8205,-42.7324
BA,BOTUPORA,4,-13.3772,-42.5163
BA,BREJOES,13,-13.1039,-39.7988
BA,BREJOLANDIA,4,-12.4815,-43.9679
BA,BROTAS DE MACAUBAS,7,-11.9915,-42.6326
BA,BRUMADO,44,-14.2021,-41.6696
BA,BUERAREMA,21,-14.9595,-39.3028
BA,BURITIRAMA,5,-10.7171,-43.6302
BA,CAATIBA,5,-14.9699,-40.4092
BA,CABACEIRAS DO PARAGUACU,4,-12.5317,-39.1902
BA,CACHOEIRA,51,-12.5994,-38.9587
BA,CACULE,10,-14.5003,-42.2229
BA,CAEM,4,-11.0677,-40.432
BA,CAETANOS,2,-14.3347,-40.9175
BA,CAETITE,31,-14.0684,-42.4861
BA,CAFARNAUM,10,-11.6914,-41.4688
BA,CAIRU,18,-13.4904,-39.0465
BA,CALDEIRAO GRANDE,5,-11.0208,-40.2956
BA,CAMACAN,48,-15.4142,-39.4919
BA,CAMACARI,370,-12.6996,-38.3263
BA,CAMAMU,34,-13.9398,-39.1071
BA,CAMPO ALEGRE DE LOURDES,9,-9.52221,-43.0126
BA,CAMPO FORMOSO,39,-10.5105,-40.32
BA,CANAPOLIS,4,-13.0725,-44.201
BA,CANARANA,12,-11.6858,-41.7677
BA,CANAVIEIRAS,55,-15.6722,-38.9536
BA,CANDEAL,4,-11.8049,-39.1203
BA,CANDEIAS,70,-12.6716,-38.5472
BA,CANDIBA,7,-14.4097,-42.8667
BA,CANDIDO SALES,26,-15.4993,-41.2414
BA,CANSANCAO,18,-10.6647,-39.4944
BA,CANUDOS,7,-9.90014,-39.1471
BA,CAPELA DO ALTO ALEGRE,7,-11.6658,-39.8349
BA,CAPIM GROSSO,24,-11.3797,-40.0089
BA,CARAIBAS,2,-14.7177,-41.2603
BA,CARAVELAS,22,-17.7268,-39.2597
BA,CARDEAL DA SILVA,2,-11.9472,-37.9469
BA,CARINHANHA,17,-14.2985,-43.7724
BA,CASA NOVA,33,-9.16408,-40.974
BA,CASTRO ALVES,24,-12.7579,-39.4248
BA,CATOLANDIA,1,-12.31,-44.8648
BA,CATU,58,-12.3513,-38.3791
BA,CATURAMA,2,-13.3239,-42.2904
BA,CENTRAL,6,-11.1376,-42.1116
BA,CHORROCHO,2,-8.9695,-39.0979
BA,CICERO DANTAS,9,-10.5897,-38.3794
BA,CIPO,18,-11.1032,-38.5179
BA,COARACI,16,-14.637,-39.5556
BA,COCOS,10,-14.1814,-44.5352
BA,CONCEICAO DA FEIRA,25,-12.5078,-38.9978
BA,CONCEICAO DO ALMEIDA,14,-12.7836,-39.1715
BA,CONCEICAO DO COITE,42,-11.56,-39.2808
BA,CONCEICAO DO JACUIPE,39,-12.3268,-38.7684
BA,CONDE,15,-11.8179,-37.6131
BA,CONDEUBA,14,-14.9022,-41.9718
BA,CONTENDAS DO SINCORA,4,-13.7537,-41.048
BA,CORACAO DE MARIA,14,-12.2333,-38.7487
BA,CORDEIROS,2,-15.0356,-41.9308
BA,CORIBE,13,-13.8232,-44.4586
BA,CORONEL JOAO SA,2,-10.2847,-37.9198
BA,CORRENTINA,41,-13.3477,-44.6333
BA,COTEGIPE,4,-12.0228,-44.2566
BA,CRAVOLANDIA,7,-13.3531,-39.8031
BA,CRISOPOLIS,6,-11.5059,-38.1515
BA,CRISTOPOLIS,6,-12.2249,-44.4214
BA,CRUZ DAS ALMAS,46,-12.6675,-39.1008
BA,CURACA,10,-8.984580000000003,-39.8997
BA,DARIO MEIRA,15,-14.4229,-39.9031
BA,DIAS D'AVILA,123,-12.6187,-38.2926
BA,DOM BASILIO,3,-13.7565,-41.7677
BA,DOM MACEDO COSTA,8,-12.9016,-39.1923
BA,ELISIO MEDRADO,6,-12.9417,-39.5191
BA,ENCRUZILHADA,14,-15.5302,-40.9124
BA,ENTRE RIOS,36,-11.9392,-38.0871
BA,ERICO CARDOSO,4,-13.4215,-42.1352
BA,ESPLANADA,16,-11.7942,-37.9432
BA,EUCLIDES DA CUNHA,15,-10.5078,-39.0153
BA,EUNAPOLIS,257,-16.3715,-39.5821
BA,FATIMA,7,-10.616,-38.2239
BA,FEIRA DA MATA,4,-14.2044,-44.2744
BA,FEIRA DE SANTANA,849,-12.2664,-38.9663
BA,FILADELFIA,10,-10.7405,-40.1437
BA,FIRMINO ALVES,5,-14.9823,-39.9269
BA,FLORESTA AZUL,6,-14.8629,-39.6579
BA,FORMOSA DO RIO PRETO,12,-11.0328,-45.19300000000001
BA,GANDU,39,-13.7441,-39.4747
BA,GAVIAO,3,-11.4688,-39.7757
BA,GENTIO DO OURO,5,-11.4342,-42.5077
BA,GLORIA,1,-9.34382,-38.2544
BA,GONGOGI,3,-14.3195,-39.469
BA,GOVERNADOR MANGABEIRA,8,-12.5994,-39.0412
BA,GUAJERU,5,-14.5467,-41.9381
BA,GUANAMBI,67,-14.2231,-42.7799
BA,GUARATINGA,29,-16.5833,-39.7847
BA,HELIOPOLIS,2,-10.6825,-38.2907
BA,IACU,15,-12.7666,-40.2056
BA,IBIASSUCE,6,-14.2711,-42.257
BA,IBICARAI,18,-14.8579,-39.5914
BA,IBICOARA,20,-13.4059,-41.284
BA,IBICUI,17,-14.845,-39.9879
BA,IBIPEBA,6,-11.6438,-42.0195
BA,IBIPITANGA,9,-12.8804,-42.4856
BA,IBIQUERA,2,-12.6444,-40.9338
BA,IBIRAPITANGA,13,-14.1649,-39.3787
BA,IBIRAPUA,6,-17.6832,-40.1129
BA,IBIRATAIA,34,-14.0643,-39.6459
BA,IBITIARA,9,-12.6502,-42.2179
BA,IBITITA,7,-11.5414,-41.9748
BA,IBOTIRAMA,29,-12.1779,-43.2167
